epoch, train_loss         , test_loss         , train_acc          , test_acc
    1, 1.4771715955282427 , 1.3766393661499023, 0.28313592780597857, 0.5684210526315789
    2, 1.471322857520033  , 1.385507583618164 , 0.2707275803722504 , 0.25473684210526315
    3, 1.4131461242061514 , 1.403408169746399 , 0.3073886068809927 , 0.0
    4, 1.3795017648805552 , 1.4304277896881104, 0.3316412859560068 , 0.0
    5, 1.3255524557993632 , 1.4674698114395142, 0.38578680203045684, 0.0
    6, 1.3057331496285505 , 1.5152803659439087, 0.3824027072758037 , 0.0
    7, 1.2595276241576814 , 1.5730761289596558, 0.43147208121827413, 0.0
    8, 1.2494760646836205 , 1.6419529914855957, 0.43429216018048505, 0.0
    9, 1.2011907208254966 , 1.7229019403457642, 0.47320924985899604, 0.0
   10, 1.1613133172160546 , 1.8125802278518677, 0.494077834179357  , 0.0
   11, 1.1556415816719627 , 1.9057539701461792, 0.49915397631133673, 0.0
   12, 1.1121032049746011 , 1.9985311031341553, 0.542019176536943  , 0.0
   13, 1.112163797584013  , 2.0865108966827393, 0.5307388606880993 , 0.0
   14, 1.0904563698335616 , 2.1664950847625732, 0.5442752397067118 , 0.0
   15, 1.0537999750057723 , 2.2364659309387207, 0.5724760293288212 , 0.0
   16, 1.0681796311928737 , 2.2908260822296143, 0.5482233502538071 , 0.0
   17, 1.0346160104432083 , 2.3308746814727783, 0.5764241398759166 , 0.0
   18, 1.0251449453447474 , 2.3572075366973877, 0.5730400451212634 , 0.0
   19, 0.9959486140010724 , 2.36379075050354  , 0.5989847715736041 , 0.0
   20, 1.0035917912239551 , 2.352933168411255 , 0.5764241398759166 , 0.004210526315789474
   21, 0.9710308225290694 , 2.3259494304656982, 0.6198533558939651 , 0.014736842105263158
   22, 0.9593283353857717 , 2.2917654514312744, 0.6181613085166384 , 0.023157894736842106
   23, 0.9451202841983027 , 2.256960153579712 , 0.6164692611393119 , 0.04631578947368421
   24, 0.9389312873099124 , 2.2178211212158203, 0.6170332769317541 , 0.05894736842105263
   25, 0.9109694369082658 , 2.1915979385375977, 0.640721940214326  , 0.07157894736842105
   26, 0.9113453959114324 , 2.1630897521972656, 0.6356457980823463 , 0.0968421052631579
   27, 0.9113670284305665 , 2.1390016078948975, 0.6350817822899041 , 0.12210526315789473
   28, 0.8788950946192519 , 2.1064720153808594, 0.6565143824027073 , 0.15157894736842106
   29, 0.8768600790902712 , 2.0774011611938477, 0.670614777213762  , 0.17684210526315788
   30, 0.8628712931529183 , 2.049098491668701 , 0.6666666666666666 , 0.19157894736842104
