epoch,train_loss,test_loss,train_acc,test_acc
1,4.6160184692946515,4.619449615478516,0.0,0.0
2,4.614407128421721,4.617130756378174,0.0,0.0
3,4.612142974887941,4.614504337310791,0.0,0.0
4,4.609625656861608,4.611741542816162,0.0,0.0
5,4.606959006239046,4.60892391204834,0.0,0.0
