epoch,train_loss,test_loss,train_acc,test_acc
1,1.48130728562404,1.3752286434173584,0.28031584884376765,0.5684210526315789
2,1.5042734289330677,1.377009391784668,0.25831923293852227,0.5473684210526316
3,1.4851002746965007,1.3801556825637817,0.2577552171460801,0.25473684210526315
4,1.4906717013721067,1.3849750757217407,0.2667794698251551,0.25473684210526315
5,1.4707888878474313,1.3912787437438965,0.27693175408911447,0.25473684210526315
6,1.4832627849261504,1.3984516859054565,0.2673434856175973,0.23157894736842105
7,1.4613660189369877,1.4066118001937866,0.2825719120135364,0.19789473684210526
8,1.4849076069349363,1.4151848554611206,0.2628313592780598,0.15368421052631578
9,1.4550084732241773,1.4253323078155518,0.27805978567399886,0.12
10,1.4368489748061342,1.4356465339660645,0.3096446700507614,0.10947368421052632
11,1.4539262071142611,1.4446003437042236,0.2825719120135364,0.10947368421052632
12,1.4210788345713434,1.4546585083007812,0.30400451212633955,0.09473684210526316
13,1.436569686132303,1.464587688446045,0.3079526226734349,0.08421052631578947
14,1.4266922469200956,1.473215103149414,0.3051325437112239,0.07368421052631578
15,1.3958392784007847,1.4834529161453247,0.3333333333333333,0.056842105263157895
16,1.4324465318379669,1.4907335042953491,0.30231246474901297,0.05894736842105263
17,1.4088885902484392,1.4947513341903687,0.3062605752961083,0.061052631578947365
18,1.4172087868121943,1.4987587928771973,0.31754089114495204,0.05894736842105263
19,1.395766697492024,1.5002472400665283,0.32825719120135366,0.06315789473684211
20,1.41923887804949,1.5015264749526978,0.30456852791878175,0.05894736842105263
21,1.3945132869821582,1.5022095441818237,0.32092498589960516,0.05894736842105263
22,1.4014465766509778,1.5035218000411987,0.3350253807106599,0.061052631578947365
23,1.3839806201964937,1.5031529664993286,0.3361534122955443,0.06526315789473684
24,1.3914074851373328,1.5005887746810913,0.32148900169204736,0.07789473684210527
25,1.3668831816112261,1.502239465713501,0.3536379018612521,0.06947368421052631
26,1.386329592585362,1.502564549446106,0.3197969543147208,0.07157894736842105
27,1.3949511589065353,1.5021564960479736,0.3254371122391427,0.07368421052631578
28,1.3624366560159802,1.5038528442382812,0.350253807106599,0.07789473684210527
29,1.3678865888598808,1.5046707391738892,0.3553299492385787,0.08
30,1.359921328643588,1.5052149295806885,0.3547659334461365,0.0863157894736842
31,1.347479389672621,1.5051333904266357,0.3558939650310209,0.09473684210526316
32,1.3472558678171425,1.5072084665298462,0.3728144388042865,0.09473684210526316
33,1.3393587533592572,1.5090601444244385,0.377326565143824,0.09052631578947369
34,1.3582368085966632,1.5088155269622803,0.3542019176536943,0.0968421052631579
35,1.3579160539833623,1.5106881856918335,0.36661026508742245,0.09894736842105263
36,1.335047305874144,1.5111448764801025,0.377326565143824,0.10526315789473684
37,1.3596236699056437,1.510865330696106,0.3604060913705584,0.1031578947368421
38,1.336968269579436,1.5126423835754395,0.36717428087986465,0.1031578947368421
39,1.3266910800003293,1.5141948461532593,0.37112239142695996,0.1031578947368421
40,1.321255088659309,1.515576720237732,0.36604624929498025,0.10736842105263159
41,1.3086134657910902,1.5175116062164307,0.38747884940778343,0.11368421052631579
42,1.3309156115419503,1.5192238092422485,0.37055837563451777,0.11368421052631579
43,1.3038231511608194,1.5209369659423828,0.39593908629441626,0.11578947368421053
44,1.3078867849225186,1.5221720933914185,0.39199097574732095,0.11578947368421053
45,1.2914703283616533,1.5235764980316162,0.41398759165256627,0.11789473684210526
46,1.309275475989878,1.5250924825668335,0.3942470389170897,0.12631578947368421
47,1.2894926422810864,1.5241585969924927,0.3965031020868584,0.12631578947368421
48,1.277949275435261,1.5274465084075928,0.40947546531302875,0.12842105263157894
49,1.2840696193374488,1.5285050868988037,0.4128595600676819,0.13052631578947368
50,1.281933068489531,1.5310041904449463,0.40552735476593343,0.13263157894736843
51,1.280537909595427,1.5339828729629517,0.4184997179921038,0.13263157894736843
52,1.298277185451359,1.535969614982605,0.4015792442188381,0.13052631578947368
53,1.2675325645945936,1.539160132408142,0.4230118443316413,0.13263157894736843
54,1.271447564139584,1.5412119626998901,0.4224478285391991,0.13263157894736843
55,1.2625743860050036,1.5442947149276733,0.42470389170896783,0.12842105263157894
56,1.2559699345226687,1.5462239980697632,0.4376762549351382,0.12842105263157894
57,1.2510493767174098,1.549330711364746,0.42978003384094754,0.12842105263157894
58,1.265691512934044,1.5515272617340088,0.42865200225606315,0.13263157894736843
59,1.2622813851027856,1.55330491065979,0.4263959390862944,0.13052631578947368
60,1.2614158168729255,1.558024525642395,0.43372814438804286,0.1368421052631579
61,1.25800378357564,1.5599493980407715,0.43542019176536945,0.1368421052631579
62,1.2456499949324555,1.562532663345337,0.4433164128595601,0.1368421052631579
63,1.2160077750581977,1.563993215560913,0.45910885504794136,0.1368421052631579
64,1.2235615047706565,1.565428614616394,0.4619289340101523,0.13894736842105262
65,1.2376188644230601,1.5670855045318604,0.43260011280315847,0.1368421052631579
66,1.2363361740811558,1.5705912113189697,0.44952058657642413,0.1368421052631579
67,1.2367298539856095,1.574673056602478,0.446136491821771,0.1368421052631579
68,1.2218919472040863,1.5767964124679565,0.4619289340101523,0.13473684210526315
69,1.2305606942491483,1.5796207189559937,0.4444444444444444,0.1368421052631579
70,1.2252852651807997,1.5839316844940186,0.446136491821771,0.13473684210526315
71,1.2008318494957044,1.586151361465454,0.48223350253807107,0.13473684210526315
72,1.2420417282181948,1.5886553525924683,0.4427523970671179,0.13263157894736843
73,1.2227539983901075,1.5903253555297852,0.4624929498025945,0.13473684210526315
74,1.2114569655395266,1.59246027469635,0.45516074450084604,0.13473684210526315
75,1.218047249270104,1.59418523311615,0.46813310772701633,0.13894736842105262
76,1.2319744331179132,1.5981594324111938,0.45516074450084604,0.1368421052631579
77,1.211240187447016,1.600463628768921,0.47659334461364916,0.14105263157894737
78,1.1941322237505323,1.6041165590286255,0.4811054709531867,0.1431578947368421
79,1.1872038686604938,1.6089104413986206,0.48223350253807107,0.14105263157894737
80,1.1876210393168734,1.6112066507339478,0.4653130287648054,0.1431578947368421
81,1.2000654935836792,1.6124835014343262,0.4692611393119007,0.13894736842105262
82,1.1926557411262697,1.6125882863998413,0.4709531866892273,0.14105263157894737
83,1.1836925387987631,1.6121861934661865,0.47884940778341795,0.14736842105263157
84,1.1867396740743956,1.6141971349716187,0.4884376762549351,0.14736842105263157
85,1.1807251109017267,1.6136225461959839,0.4895657078398195,0.14736842105263157
86,1.1900997986177637,1.61703360080719,0.4715172024816695,0.14736842105263157
87,1.1887904557547055,1.6214523315429688,0.47828539199097575,0.14526315789473684
88,1.160733015269663,1.6225590705871582,0.5076142131979695,0.14526315789473684
89,1.1548301979975046,1.6237210035324097,0.5008460236886633,0.14526315789473684
90,1.1840670230492185,1.6279082298278809,0.4811054709531867,0.14526315789473684
91,1.18017640627513,1.6321794986724854,0.47772137619853355,0.14526315789473684
92,1.1850417902828674,1.6354349851608276,0.47433728144388043,0.14526315789473684
93,1.1706923393630335,1.637737512588501,0.485053581500282,0.14526315789473684
94,1.1548922167480564,1.6398682594299316,0.494077834179357,0.14526315789473684
95,1.1701256692308661,1.6434319019317627,0.4912577552171461,0.14105263157894737
96,1.155077697258512,1.6500824689865112,0.49689791314156795,0.13894736842105262
97,1.1522439181703803,1.6490505933761597,0.5160744500846024,0.13894736842105262
98,1.1549797397646875,1.6505086421966553,0.5126903553299492,0.1431578947368421
99,1.1604043243970834,1.6527705192565918,0.5042301184433164,0.14526315789473684
100,1.1492954270018068,1.656585931777954,0.5047941342357586,0.1431578947368421
101,1.147797330112963,1.655706763267517,0.5053581500282008,0.14736842105263157
102,1.1440629661251311,1.657449722290039,0.5002820078962211,0.14736842105263157
103,1.131584230211584,1.6569944620132446,0.5155104342921601,0.14947368421052631
104,1.1378017608822233,1.6572397947311401,0.5109983079526227,0.14736842105263157
105,1.1482386117054122,1.6590757369995117,0.5036661026508742,0.14736842105263157
106,1.146532755481679,1.6583998203277588,0.5019740552735477,0.14526315789473684
107,1.1396772844671732,1.6611461639404297,0.514946418499718,0.14736842105263157
108,1.126733251634588,1.6632285118103027,0.5014100394811055,0.14736842105263157
109,1.1302612030230468,1.6684249639511108,0.5070501974055274,0.1431578947368421
110,1.1309254926540593,1.669946551322937,0.5313028764805414,0.1431578947368421
111,1.115831046405648,1.6728825569152832,0.5329949238578681,0.14947368421052631
112,1.125895673651784,1.6746124029159546,0.5183305132543711,0.14736842105263157
113,1.1222615604406014,1.6766698360443115,0.523970671178793,0.14947368421052631
114,1.1076443992761051,1.6800793409347534,0.523970671178793,0.14736842105263157
115,1.1202434206573693,1.681942105293274,0.5307388606880993,0.14736842105263157
116,1.1129183276386767,1.6810084581375122,0.5397631133671743,0.14736842105263157
117,1.1172317107787457,1.6819263696670532,0.5200225606316977,0.14947368421052631
118,1.1057042454973964,1.6862608194351196,0.5408911449520587,0.14947368421052631
119,1.08959395066534,1.6877503395080566,0.5335589396503102,0.14947368421052631
120,1.107443765133569,1.6914958953857422,0.535815002820079,0.14947368421052631
121,1.08637309813997,1.694093108177185,0.5454032712915962,0.14947368421052631
122,1.0998711267300265,1.6951993703842163,0.5470953186689227,0.14947368421052631
123,1.1137906612814716,1.6977109909057617,0.5188945290468133,0.14947368421052631
124,1.085893921440628,1.6983038187026978,0.5549915397631133,0.14947368421052631
125,1.0813917598681335,1.6956440210342407,0.562887760857304,0.15157894736842106
126,1.1027808153084693,1.696778416633606,0.5250987027636774,0.15157894736842106
127,1.0868291709628808,1.6968928575515747,0.5487873660462493,0.15368421052631578
128,1.0890826216136675,1.699741244316101,0.5465313028764806,0.15368421052631578
129,1.0868391523371963,1.7004152536392212,0.5442752397067118,0.15368421052631578
130,1.072063271164289,1.7009333372116089,0.5578116187253243,0.15368421052631578
131,1.0719775040809945,1.704258680343628,0.5578116187253243,0.15578947368421053
132,1.0794214577709829,1.7059282064437866,0.5555555555555556,0.15789473684210525
133,1.0771398135517118,1.706250548362732,0.5549915397631133,0.15578947368421053
134,1.0909818303295937,1.7065469026565552,0.5375070501974055,0.15789473684210525
135,1.0742618887019708,1.711060643196106,0.5617597292724196,0.15789473684210525
136,1.066069691381546,1.7128065824508667,0.5589396503102086,0.15789473684210525
137,1.0743988260198163,1.715612530708313,0.551043429216018,0.15789473684210525
138,1.0610335647084923,1.7147732973098755,0.5606316976875353,0.15789473684210525
139,1.0543165174635938,1.7156111001968384,0.5662718556119571,0.16421052631578947
140,1.062697654448185,1.7166486978530884,0.560067681895093,0.16210526315789472
141,1.0643068125069108,1.7164349555969238,0.5425831923293852,0.16210526315789472
142,1.055580590447664,1.7189772129058838,0.5752961082910322,0.16421052631578947
143,1.0602063001109865,1.7193424701690674,0.5589396503102086,0.16421052631578947
144,1.06061085145889,1.724048376083374,0.5544275239706712,0.16210526315789472
145,1.061954160430508,1.7244328260421753,0.5595036661026509,0.16210526315789472
146,1.0408974608256194,1.727562665939331,0.5769881556683587,0.16421052631578947
147,1.0503215933679795,1.7272393703460693,0.577552171460801,0.16421052631578947
148,1.0553868776381654,1.7307772636413574,0.5578116187253243,0.16421052631578947
149,1.040031374341273,1.7318793535232544,0.5685279187817259,0.16421052631578947
150,1.0564740242691815,1.733620524406433,0.562887760857304,0.16421052631578947
151,1.0576597441405948,1.7352038621902466,0.5662718556119571,0.16421052631578947
152,1.0519404569992694,1.734585165977478,0.560067681895093,0.1705263157894737
153,1.041640003522237,1.7356092929840088,0.580936266215454,0.16842105263157894
154,1.0341647482832743,1.7361164093017578,0.5685279187817259,0.1705263157894737
155,1.0306094671734565,1.7358760833740234,0.5860124083474337,0.17473684210526316
