epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67.824,1.06589,0.6514,0.94026,0.84584,0.7767,0.86439,0.5603,1.16649,0.73339,0.99416,0.0015941,0.0015941,0.0015941
43,69.4217,1.02527,0.63376,0.94909,0.80139,0.82268,0.85854,0.54149,1.23388,0.76602,1.01269,0.0015842,0.0015842,0.0015842
44,71.0005,0.97526,0.60372,0.95541,0.81202,0.71297,0.81395,0.49598,1.28645,0.86776,1.03585,0.0015743,0.0015743,0.0015743
45,72.5729,1.01441,0.59339,0.95068,0.79979,0.81553,0.85114,0.52579,1.20284,0.91461,0.99983,0.0015644,0.0015644,0.0015644
46,74.1226,1.02847,0.62936,0.96583,0.75768,0.86408,0.85695,0.54762,1.11661,0.78801,0.96483,0.0015545,0.0015545,0.0015545
47,75.6969,1.01281,0.61378,0.93303,0.80832,0.79612,0.87086,0.56564,1.12361,0.75996,0.97098,0.0015446,0.0015446,0.0015446
48,77.3077,1.00702,0.60613,0.94006,0.79211,0.81385,0.84382,0.55451,1.11143,0.68855,0.95862,0.0015347,0.0015347,0.0015347
49,78.8769,1.06451,0.61404,0.94267,0.83476,0.83495,0.85149,0.53229,1.17384,0.72746,0.95921,0.0015248,0.0015248,0.0015248
50,80.4466,1.00504,0.60645,0.94044,0.8061,0.80723,0.86897,0.58052,1.10949,0.71399,0.9545,0.0015149,0.0015149,0.0015149
51,82.0242,0.98512,0.58783,0.94331,0.92415,0.67961,0.81667,0.50834,1.24281,0.88705,0.99554,0.001505,0.001505,0.001505
52,83.6187,0.97797,0.57002,0.91867,0.95791,0.66019,0.81378,0.52494,1.20092,0.81523,0.99284,0.0014951,0.0014951,0.0014951
53,85.2013,0.94403,0.56416,0.92487,0.96501,0.69903,0.81488,0.50729,1.29325,0.89105,1.02313,0.0014852,0.0014852,0.0014852
54,86.839,0.9193,0.55847,0.91364,0.89891,0.777,0.85934,0.53745,1.20989,0.75589,0.99186,0.0014753,0.0014753,0.0014753
55,88.5326,0.94162,0.57408,0.91348,0.85022,0.82524,0.87544,0.54436,1.25179,0.72077,0.98811,0.0014654,0.0014654,0.0014654
56,90.3553,0.90511,0.53902,0.90912,0.8952,0.74757,0.84478,0.52092,1.21416,0.75959,0.98446,0.0014555,0.0014555,0.0014555
57,92.0609,0.95099,0.55542,0.91289,0.88949,0.78641,0.85486,0.52861,1.2013,0.74635,0.97434,0.0014456,0.0014456,0.0014456
58,93.7548,0.94639,0.56173,0.90636,0.87894,0.77541,0.84299,0.5587,1.1521,0.74517,0.97461,0.0014357,0.0014357,0.0014357
59,95.4634,0.97178,0.57614,0.93325,0.88065,0.78807,0.8672,0.56607,1.18047,0.71754,0.97219,0.0014258,0.0014258,0.0014258
60,97.0575,0.94625,0.54037,0.90682,0.90726,0.81553,0.85748,0.54119,1.20837,0.8007,1.00067,0.0014159,0.0014159,0.0014159
61,98.7583,0.91111,0.55332,0.90001,0.87055,0.82524,0.85818,0.55011,1.21582,0.7877,1.00201,0.001406,0.001406,0.001406
62,100.455,0.93409,0.53611,0.92182,0.93821,0.7371,0.83996,0.53695,1.23997,0.77911,0.97905,0.0013961,0.0013961,0.0013961
